entry_date,exit_date,direction,entry_price,exit_price,lots,pnl,trade_pnl,tp1_hit,outcome,score,regime,setup,duration_bars,equity
2020-01-01 20:20,2020-01-02 00:15,SELL,34284.97,29521.06,0.02,93.99,47.61,True,TP2,85,WEAK_TREND_DOWN,2,47,10093.99
2020-01-02 13:25,2020-01-02 14:00,SELL,20188.53,21479.26,0.02,68.09,-25.86,False,SL,70,STRONG_TREND_DOWN,2,7,10068.09
2020-01-02 14:45,2020-01-02 15:05,SELL,21554.63,22466.37,0.02,49.77,-18.28,False,SL,75,STRONG_TREND_DOWN,2,4,10049.77
2020-01-03 07:05,2020-01-03 08:55,SELL,23214.7,19009.25,0.02,112.71,42.04,True,TP2,70,STRONG_TREND_DOWN,2,22,10112.71
2020-01-03 13:35,2020-01-03 13:55,SELL,16763.49,18161.26,0.02,84.69,-27.99,False,SL,70,WEAK_TREND_DOWN,2,4,10084.69
2020-01-03 21:30,2020-01-03 23:15,SELL,17231.38,18624.01,0.02,56.76,-27.89,False,SL,70,STRONG_TREND_DOWN,2,21,10056.76
2020-01-05 13:10,2020-01-05 13:35,BUY,29465.27,28594.42,0.02,39.23,-17.47,False,SL,70,STRONG_TREND_UP_HIGHVOL,2,5,10039.23
2020-01-05 21:15,2020-01-05 22:10,SELL,27669.5,28515.42,0.02,22.2,-16.98,False,SL,70,STRONG_TREND_DOWN,2,11,10022.2
2020-01-06 09:50,2020-01-06 11:10,SELL,18565.79,19710.96,0.02,-0.78,-22.94,False,SL,70,STRONG_TREND_DOWN,2,16,9999.22
2020-01-06 13:20,2020-01-06 13:35,SELL,19180.6,19633.67,0.02,-9.92,-9.1,False,SL,75,WEAK_TREND_DOWN,2,3,9990.08
2020-01-07 06:30,2020-01-07 06:55,SELL,14764.97,16204.2,0.02,-38.77,-28.82,False,SL,70,STRONG_TREND_DOWN,2,5,9961.23
2020-01-07 07:50,2020-01-07 08:30,SELL,17502.65,18550.66,0.02,-59.8,-21.0,False,SL,65,STRONG_TREND_DOWN,2,8,9940.2
2020-01-08 14:35,2020-01-08 15:45,SELL,15971.32,15971.32,0.02,-48.05,-0.02,True,SL,70,STRONG_TREND_DOWN,2,14,9951.95
2020-01-08 16:15,2020-01-08 18:40,SELL,14800.57,14800.57,0.02,-33.54,-0.01,True,SL,70,STRONG_TREND_DOWN,2,29,9966.46
2020-01-09 07:40,2020-01-11 01:50,SELL,6316.96,9023.95,0.02,-87.71,-54.16,False,SL,75,WEAK_TREND_DOWN,2,506,9912.29
2020-01-11 12:25,2020-01-11 12:35,BUY,10640.34,9901.03,0.02,-102.54,-14.81,False,SL,80,WEAK_TREND_UP_HIGHVOL,2,2,9897.46
2020-01-11 15:55,2020-01-12 06:55,SELL,8754.69,8754.69,0.02,-79.47,-0.01,True,SL,70,WEAK_TREND_DOWN_HIGHVOL,2,180,9920.53
