time,open,high,low,close,volume,spread,real_volume
2018-02-09,8251.64,8292.32,8193.92,8201.89,2438,1494,0
2018-02-10,8199.83,8294.33,8187.04,8294.3,1236,1143,0
2018-02-11,8294.21,8319.84,8185.22,8185.22,5376,1296,0
2018-02-12,8180.63,8241.14,8158.32,8241.14,979,1390,0
2018-02-14,9248.49,9327.84,9230.85,9327.37,3481,1105,0
2018-02-15,9728.6,10207.26,9726.52,10000.9,33862,1041,0
2018-02-16,10001.77,10277.06,9696.83,10158.48,83550,989,0
2018-02-17,10157.68,11115.32,10043.99,11085.26,82883,1031,0
2018-02-18,11085.31,11274.45,10134.57,10393.78,83226,1264,0
2018-02-19,10395.28,11262.86,10303.56,11158.66,83234,1450,0
2018-02-20,11158.72,11758.66,11025.5,11226.37,82965,1116,0
2018-02-21,11226.07,11261.22,10234.49,10447.17,83012,680,0
2018-02-22,10446.09,10906.95,9719.93,9824.94,82968,1297,0
2018-02-23,9825.24,10395.27,9580.5,10129.71,82645,1221,0
2018-02-24,10129.83,10495.45,9347.52,9671.77,75697,459,0
2018-02-25,9672.06,9843.55,9288.48,9576.5,76255,1175,0
2018-02-26,9577.49,10434.58,9369.68,10308.69,82803,1158,0
2018-02-27,10308.68,10845.91,10134.41,10553.62,82431,266,0
2018-02-28,10556.95,11038.22,10260.09,10302.05,82529,1004,0
2018-03-01,10302.11,11073.01,10212.88,10889.99,82338,951,0
2018-03-02,10890.24,11159.7,10738.78,10998.44,77165,1006,0
2018-03-03,10998.54,11489.18,10995.91,11423.53,74822,2551,0
2018-03-04,11423.9,11484.14,11040.22,11452.34,75448,2791,0
2018-03-05,11452.91,11642.82,11331.55,11352.48,82031,3622,0
2018-03-06,11355.51,11375.12,10548.92,10697.85,82256,3048,0
2018-03-07,10697.97,10872.71,9276.61,9879.18,82804,2817,0
2018-03-08,9882.28,10089.38,9027.57,9276.1,82942,2953,0
2018-03-09,9277.18,9391.45,8341.72,9216.43,83631,1726,0
2018-03-10,9216.67,9485.28,8637.91,8752.98,73938,1457,0
2018-03-11,8754.42,9716.25,8404.7,9511.81,76375,648,0
2018-03-12,9511.55,9869.83,8822.88,9096.55,82459,1167,0
2018-03-13,9096.69,9462.78,8815.02,9124.57,83156,2642,0
2018-03-14,9124.93,9331.56,7910.71,8174.35,83362,31,0
2018-03-15,8174.69,8391.99,7634.88,8238.35,83585,2496,0
2018-03-16,8238.39,8584.83,7884.82,8224.82,83421,1282,0
2018-03-17,8225.23,8307.07,7716.08,7827.79,76346,2053,0
2018-03-18,7827.23,8272.97,7282.72,8172.53,76650,2337,0
2018-03-19,8173.02,8689.1,8065.17,8569.7,83601,2225,0
2018-03-20,8568.95,9019.93,8285.4,8887.49,83521,2360,0
2018-03-21,8887.64,9149.74,8713.87,8866.66,83345,1741,0
2018-03-22,8868.45,9063.91,8451.28,8687.41,83723,2243,0
2018-03-23,8687.24,8904.07,8241.23,8902.95,83549,1455,0
2018-03-24,8903.62,8989.43,8455.34,8513.06,76615,2196,0
2018-03-25,8511.13,8659.66,8334.57,8437.31,76737,1691,0
2018-03-26,8437.44,8483.18,7827.77,8118.48,83745,543,0
2018-03-27,8119.62,8196.9,7718.12,7776.88,89405,0,0
2018-03-28,7777.11,8084.98,7695.74,7924.73,83691,1903,0
2018-03-29,7924.8,7947.57,6880.21,7072.38,83631,805,0
2018-03-30,7072.67,7251.86,6522.67,6826.3,83769,661,0
2018-03-31,6826.29,7196.48,6779.44,6913.91,76822,383,0
2018-04-01,6913.87,7030.41,6409.1,6801.9,76782,324,0
2018-04-02,6802.92,7093.86,6755.67,7036.32,83878,52,0
2018-04-03,7036.5,7501.28,6993.57,7400.25,83838,1775,0
2018-04-04,7400.52,7409.57,6677.84,6769.21,83687,577,0
2018-04-05,6769.23,6904.15,6545.8,6761.85,82880,1918,0
2018-04-06,6762.16,6836.79,6478.04,6594.1,83475,274,0
2018-04-07,6595.05,7046.29,6576.34,6878.61,75797,33,0
2018-04-08,6878.73,7089.46,6855.35,7007.81,75490,2046,0
2018-04-09,7007.97,7162.49,6588.36,6755.66,82914,1741,0
2018-04-10,6755.65,6874.01,6627.5,6821.05,82451,1758,0
2018-04-11,6821.12,6958.07,6785.08,6929.46,82082,783,0
2018-04-12,6929.47,8040.24,6745.04,7899.86,82844,543,0
2018-04-13,7900.03,8212.02,7734.81,7869.78,83579,1206,0
2018-04-14,7869.63,8107.54,7804.7,7990.1,76684,712,0
2018-04-15,7990.11,8391.53,7989.72,8336.54,76799,1825,0
2018-04-16,8336.79,8391.55,7878.88,8034.73,83322,1492,0
2018-04-17,8034.78,8143.49,7790.58,7876.18,83657,804,0
2018-04-18,7876.29,8211.55,7854.15,8146.01,83264,1683,0
2018-04-19,8146.24,8282.53,8077.22,8258.31,83110,1771,0
2018-04-20,8258.34,8915.49,8195.66,8850.33,83378,1832,0
2018-04-21,8850.34,8927.08,8578.32,8893.72,78273,1946,0
2018-04-22,8893.35,9000.32,8735.1,8778.23,83288,2128,0
2018-04-23,8778.43,8985.78,8753.96,8920.58,83332,1818,0
2018-04-24,8920.86,9715.8,8911.5,9631.4,83322,230,0
2018-04-25,9629.64,9741.53,8583.55,8844.1,83272,25,0
2018-04-26,8844.47,9303.04,8623.28,9253.13,83421,1181,0
2018-04-27,9254.56,9362.63,8882.82,8905.69,82939,2202,0
2018-04-28,8905.68,9408.51,8825.32,9318.94,82963,222,0
2018-04-29,9318.78,9520.25,9140.14,9379.84,82694,1847,0
2018-04-30,9378.34,9426.52,9084.62,9218.08,82994,2040,0
2018-05-01,9218.37,9225.56,8806.63,9047.81,83007,2152,0
2018-05-02,9047.62,9248.12,8952.57,9195.51,82952,1819,0
2018-05-03,9194.98,9779.35,9090.28,9719.56,83088,737,0
2018-05-04,9719.83,9741.89,9416.8,9676.0,82642,408,0
2018-05-05,9676.25,9938.47,9583.38,9805.97,82541,1065,0
2018-05-06,9806.38,9882.28,9319.13,9597.34,82838,265,0
2018-05-07,9596.64,9619.11,9143.69,9339.8,82509,342,0
2018-05-08,9339.18,9443.27,9020.31,9161.26,82586,2095,0
2018-05-09,9160.79,9348.08,8942.83,9293.88,82561,1894,0
2018-05-10,9293.94,9372.48,8974.96,8997.36,82434,2008,0
2018-05-11,8996.85,8997.07,8324.07,8396.76,82642,2043,0
2018-05-12,8396.42,8631.91,8199.38,8461.63,82699,1935,0
2018-05-13,8462.15,8750.05,8313.15,8677.39,82751,100,0
2018-05-14,8677.65,8866.14,8255.38,8658.66,82963,2030,0
2018-05-15,8658.74,8829.02,8374.26,8461.25,83212,119,0
2018-05-16,8461.28,8481.95,8078.35,8327.77,83095,147,0
2018-05-17,8328.32,8465.2,7965.87,8041.74,82851,782,0
2018-05-18,8041.76,8258.98,7906.88,8221.85,83026,1343,0
2018-05-19,8221.95,8375.14,8127.55,8207.91,82530,1596,0
2018-05-20,8208.03,8575.18,8148.69,8504.8,82943,1620,0
2018-05-21,8504.69,8563.86,8282.05,8375.57,82807,1667,0
