open_time,close_time,signal,entry,exit,sl,tp1,tp2,lots,tp1_net_pnl,tp2_net_pnl,net_pnl,result,equity,year
2023-03-02 07:13:32.101101,2023-03-02 08:13:32.101101,-1,1790.31483,1836.26095,1836.26095,1740.70005,1721.25411,0.22,0.0,-101.15,-101.15,SL,9898.85,2023
2023-03-02 13:28:32.101101,2023-03-02 15:58:32.101101,1,1829.78307,1786.8051,1786.8051,1934.96204,1966.37819,0.23,0.0,-98.92,-98.92,SL,9799.93,2023
2023-03-02 17:33:32.101101,2023-03-02 17:53:32.101101,1,1781.05743,1855.05595,1761.46882,1839.28584,1855.05595,0.5,0.0,369.84,369.84,TP2,10169.78,2023
2023-03-02 23:28:32.101101,2023-03-02 23:33:32.101101,1,1758.5561,1728.13478,1728.13478,1873.31313,1904.28537,0.33,0.0,-100.49,-100.49,SL,10069.29,2023
2023-03-03 03:53:32.101101,2023-03-03 06:13:32.101101,-1,1785.06098,1807.05807,1807.05807,1704.60496,1683.11033,0.46,184.98,-50.66,134.32,SL_after_TP1,10203.6,2023
2023-03-03 09:38:32.101101,2023-03-03 11:28:32.101101,-1,1880.9308,1781.64294,1937.73744,1808.22159,1781.64294,0.18,65.41,89.33,154.74,TP2,10358.35,2023
2023-03-03 13:48:32.101101,2023-03-03 14:08:32.101101,-1,1916.50433,1970.59339,1970.59339,1849.41116,1824.46174,0.19,0.0,-102.83,-102.83,SL,10255.52,2023
2023-03-03 17:58:32.101101,2023-03-03 18:33:32.101101,-1,2205.03761,2044.80672,2306.45066,2090.9869,2044.80672,0.1,57.01,80.1,137.11,TP2,10392.63,2023
2023-03-03 21:58:32.101101,2023-03-03 23:23:32.101101,1,1920.4993,1870.37419,1870.37419,2079.91514,2125.09895,0.21,0.0,-105.33,-105.33,SL,10287.31,2023
2023-03-04 02:23:32.101101,2023-03-04 04:08:32.101101,-1,1944.6115,1982.69332,1982.69332,1869.51473,1846.31357,0.27,101.34,-51.45,49.89,SL_after_TP1,10337.2,2023
2023-03-04 08:53:32.101101,2023-03-04 09:58:32.101101,1,1972.37668,1921.45954,1921.45954,2064.19121,2094.44892,0.2,0.0,-101.89,-101.89,SL,10235.3,2023
2023-03-04 16:08:32.101101,2023-03-04 16:23:32.101101,-1,2168.9881,2216.47626,2216.47626,2045.17379,2008.72649,0.22,0.0,-104.54,-104.54,SL,10130.76,2023
2023-03-04 22:23:32.101101,2023-03-04 22:38:32.101101,-1,2155.22379,2196.47962,2196.47962,2052.61411,2022.74829,0.25,0.0,-103.21,-103.21,SL,10027.55,2023
2023-03-05 04:48:32.101101,2023-03-05 05:18:32.101101,1,2122.40683,2081.22498,2081.22498,2227.76892,2258.19457,0.24,0.0,-98.91,-98.91,SL,9928.64,2023
2023-03-05 13:43:32.101101,2023-03-05 14:08:32.101101,1,2029.65835,1987.96198,1987.96198,2129.51496,2158.99328,0.24,0.0,-100.14,-100.14,SL,9828.5,2023
2023-03-05 20:18:32.101101,2023-03-05 20:33:32.101101,-1,2045.47991,2081.12716,2081.12716,1996.49653,1979.86708,0.28,0.0,-99.9,-99.9,SL,9728.6,2023
2023-03-06 02:03:32.101101,2023-03-06 02:23:32.101101,-1,2154.83826,2195.30486,2195.30486,2081.09934,2057.84141,0.24,0.0,-97.19,-97.19,SL,9631.41,2023
2023-03-06 08:58:32.101101,2023-03-06 10:28:32.101101,-1,2117.86563,2028.96986,2168.32008,2052.18887,2028.96986,0.19,62.36,84.42,146.79,TP2,9778.19,2023
