open_time,close_time,signal,entry,exit,sl,tp1,tp2,lots,tp1_net_pnl,tp2_net_pnl,net_pnl,result,equity,year
2023-03-04 22:13:07.126286,2023-03-05 12:13:07.126286,-1,1790.31483,1836.35244,1836.35244,1735.24712,1714.76423,0.22,0.0,-101.35,-101.35,SL,9898.65,2023
2023-03-05 20:13:07.126286,2023-03-06 10:13:07.126286,-1,1921.14839,1968.70385,1968.70385,1830.60672,1802.3566,0.21,0.0,-99.93,-99.93,SL,9798.72,2023
2023-03-06 14:13:07.126286,2023-03-07 23:13:07.126286,-1,2044.70344,1858.96471,2089.45053,1899.57525,1858.96471,0.22,159.61,204.28,363.89,TP2,10162.61,2023
2023-03-09 04:13:07.126286,2023-03-10 01:13:07.126286,1,1841.66035,1778.62159,1778.62159,1915.22213,1944.46863,0.16,0.0,-100.91,-100.91,SL,10061.7,2023
2023-03-11 22:13:07.126286,2023-03-12 05:13:07.126286,1,1805.03975,1752.21728,1752.21728,1891.27167,1920.53021,0.19,0.0,-100.42,-100.42,SL,9961.28,2023
2023-03-13 01:13:07.126286,2023-03-13 02:13:07.126286,1,1758.5561,1736.77389,1736.77389,1876.59973,1906.79634,0.46,0.0,-100.34,-100.34,SL,9860.94,2023
2023-03-16 13:13:07.126286,2023-03-16 20:13:07.126286,-1,1807.07078,1834.29704,1834.29704,1716.35426,1691.2655,0.36,0.0,-98.12,-98.12,SL,9762.82,2023
2023-03-17 01:13:07.126286,2023-03-17 16:13:07.126286,-1,1891.03901,1774.17005,1916.20395,1798.93346,1774.17005,0.39,179.55,227.84,407.38,TP2,10170.2,2023
2023-03-18 03:13:07.126286,2023-03-18 04:13:07.126286,-1,1880.9308,1920.5932,1920.5932,1798.93346,1774.17005,0.26,0.0,-103.2,-103.2,SL,10067.0,2023
2023-03-20 20:13:07.126286,2023-03-21 00:13:07.126286,-1,2061.33901,2119.9302,2119.9302,1935.95542,1895.66538,0.17,0.0,-99.66,-99.66,SL,9967.35,2023
2023-03-22 21:13:07.126286,2023-03-24 04:13:07.126286,1,2021.70775,1967.11649,1967.11649,2130.53847,2165.19764,0.18,0.0,-98.32,-98.32,SL,9869.03,2023
2023-03-24 07:13:07.126286,2023-03-25 00:13:07.126286,1,1920.4993,1869.82263,1869.82263,2079.66569,2124.90837,0.19,0.0,-96.34,-96.34,SL,9772.69,2023
2023-03-26 13:13:07.126286,2023-03-27 09:13:07.126286,-1,1937.4521,1981.89864,1981.89864,1864.3688,1840.36202,0.22,80.36,-48.92,31.43,SL_after_TP1,9804.12,2023
2023-03-27 15:13:07.126286,2023-03-27 16:13:07.126286,-1,2041.31807,2070.73783,2070.73783,1910.48601,1875.59557,0.33,0.0,-97.18,-97.18,SL,9706.94,2023
2023-03-30 08:13:07.126286,2023-03-30 13:13:07.126286,1,1937.61681,1906.03821,1906.03821,1992.86436,2008.78903,0.31,0.0,-97.99,-97.99,SL,9608.95,2023
2023-03-31 17:13:07.126286,2023-03-31 19:13:07.126286,-1,2028.01248,1944.41158,2073.02049,1966.54712,1944.41158,0.21,64.51,87.75,152.26,TP2,9761.21,2023
