open_time,close_time,signal,entry,exit,sl,tp1,tp2,lots,tp1_net_pnl,tp2_net_pnl,net_pnl,result,equity,year
2023-03-02 22:42:31.004437,2023-03-02 23:42:31.004437,-1,1840.83691,1874.86186,1874.86186,1782.08884,1762.9813,0.29,0.0,-98.76,-98.76,SL,9901.24,2023
2023-03-03 04:42:31.004437,2023-03-03 12:57:31.004437,-1,2044.70344,1851.0395,2074.46094,1890.83711,1851.0395,0.33,253.83,319.5,573.33,TP2,10474.57,2023
2023-03-03 13:27:31.004437,2023-03-03 13:57:31.004437,1,1829.78307,1797.93437,1797.93437,1935.62113,1964.84971,0.33,0.0,-105.2,-105.2,SL,10369.37,2023
2023-03-03 20:42:31.004437,2023-03-03 22:27:31.004437,1,1835.40022,1781.84059,1781.84059,1915.01199,1943.95374,0.19,0.0,-101.82,-101.82,SL,10267.55,2023
2023-03-04 12:42:31.004437,2023-03-04 14:27:31.004437,1,1805.03975,1753.56714,1753.56714,1889.562,1918.32379,0.2,0.0,-103.01,-103.01,SL,10164.54,2023
2023-03-04 19:27:31.004437,2023-03-04 19:57:31.004437,1,1758.5561,1724.33185,1724.33185,1871.8245,1903.14806,0.3,0.0,-102.76,-102.76,SL,10061.78,2023
2023-03-05 16:27:31.004437,2023-03-05 18:12:31.004437,-1,1807.07078,1858.4048,1858.4048,1733.16516,1707.51523,0.2,0.0,-102.73,-102.73,SL,9959.05,2023
2023-03-06 15:42:31.004437,2023-03-06 16:12:31.004437,-1,1957.3316,2008.76165,2008.76165,1880.7148,1854.83409,0.19,0.0,-97.77,-97.77,SL,9861.28,2023
2023-03-07 02:57:31.004437,2023-03-07 05:27:31.004437,-1,2205.03761,2036.99789,2296.53225,2082.71089,2036.99789,0.11,67.26,92.41,159.67,TP2,10020.95,2023
2023-03-07 08:57:31.004437,2023-03-07 14:12:31.004437,1,2016.091,1966.61235,1966.61235,2127.78762,2162.86252,0.2,0.0,-99.02,-99.02,SL,9921.93,2023
2023-03-07 14:57:31.004437,2023-03-07 19:12:31.004437,1,1920.4993,1863.36883,1863.36883,2077.70719,2123.41208,0.17,0.0,-97.17,-97.17,SL,9824.75,2023
